model,id,band,answerable,question,majority_answer,stated_conf,consistency,sem_entropy,logprob,correct,n_samples,n_conf_parsed
Qwen/Qwen2.5-7B-Instruct,tqa_25,triviaqa,True,"Cryos, the worlds largest sperm bank, recently announced that they will no longer accept donations from guys with what physical characteristic?",muscular build,0.80125,0.625,0.9002560512685369,-0.22047703246134376,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_26,triviaqa,True,Who has been Secretary of State for Work and Pensions since May 2010?,Jacob Rees-Mogg,0.5625,0.125,2.0794415416798357,-0.36603022925099093,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_27,triviaqa,True,Artiodactyla Suidae is the scientific name for which farm animal?,Pig,0.95,1.0,-0.0,-0.10973497891450795,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_28,triviaqa,True,"Edward Oxford and Rodney Maclean, et al, tried to assassinate which British monarch?",Queen Victoria,0.85,0.875,0.37677016125643675,-0.05081092118027697,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_29,triviaqa,True,What is the middle name of US actor Samuel L Jackson?,Clive,0.85,0.25,1.9061547465398496,-0.3410273223581942,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_30,triviaqa,True,On which coast of South America would you find the country of Venezuela?,Caribbean coast,0.9625,1.0,-0.0,-0.10794197177098068,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_31,triviaqa,True,"“And Another Thing...” by Eoin Colfer, published in 2009, eight years after the death of the author of the first five, is described as the sixth in which trilogy of books?",Artemis Fowl,0.9125,1.0,-0.0,-0.09047674723567362,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_32,triviaqa,True,"Which US city had the first subway system, being opened in 1895?",New York City,0.99375,0.875,0.37677016125643675,-0.0492133566630793,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_33,triviaqa,True,January 23 saw the anniversary of the introduction of the Apple Macintosh. In what year did this event happen?,1984,1.0,1.0,-0.0,-0.006810333305363514,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_34,triviaqa,True,"In December 2006, the second longest motorway tunnel in Europe was opened connecting the port to the airport in which capital city?",Rome,0.85,0.5,1.2130075659799042,-0.16228985401973905,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_35,triviaqa,True,Arkansas Black is a variety of which fruit?,apple,0.96875,1.0,-0.0,-0.07172790573159721,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_36,triviaqa,True,Which musical features the song 'Second Hand Rose'?,Blues Brothers,0.8875,0.25,1.7328679513998633,-0.3028017423776894,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_37,triviaqa,True,Which English Admiral gave his name to a battle cruiser which was sunk in 1941?,Horatio Nelson,0.85,0.875,0.37677016125643675,-0.09595520176113637,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_38,triviaqa,True,In which film did Kenneth Williams say infamy infamy they've all got it in for me?,The Lavender Hill Mob,0.9,1.0,-0.0,-0.17836683684957583,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_39,triviaqa,True,"In 1956, which peninsula was the first part of Britain to be designated an 'Area of Outstanding Natural Beauty'?",Lizard Peninsula,0.85875,0.5,0.9743147528693494,-0.17703630240136084,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_40,triviaqa,True,"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Epsom Downs,0.875,0.875,0.37677016125643675,-0.1455678073986545,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_41,triviaqa,True,"Which Charles Dickens novel has two title characters, both called 'Paul' and a full title that ends with the words: 'Wholesale, Retail and for Exportation'?",Paul Clifford,0.85,0.625,1.0735428464085233,-0.14679029019649795,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_42,triviaqa,True,Which land mammal has the longest tail?,Ostrich,0.85,0.75,0.5623351446188083,-0.09567693267780442,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_43,triviaqa,True,An encephalogram is an X-Ray photograph of which part of the human body?,Brain,0.875,1.0,-0.0,-0.1584668992185553,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_44,triviaqa,True,"Considered unlucky in Italy, probably because its Roman numerals are an anagram of a Latin word which can mean loosely 'I have lived', implying 'I am dead' ?",III,0.85,0.25,1.7328679513998633,-0.2529839996247822,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_45,triviaqa,True,What was the capital of West Germany from 1949 to 1990?,Bonn,0.9375,1.0,-0.0,-0.052791855369944095,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_46,triviaqa,True,"Although only 1 of 4 days that had a huge impact on the word, October 29, 1929, became the face of the catastrophe, and is commonly known by what name?",Black Tuesday,0.95,1.0,-0.0,-0.1039251870747109,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_47,triviaqa,True,In which year in the 1930's were Bonnie and Clyde killed?,1934,0.95625,1.0,-0.0,-0.06749904782231936,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_48,triviaqa,True,"In which country were 29 miners killed after 2 explosions in the Pike River Mine in November 2010, making it the most-deadly mining disaster there in 96 years?",New Zealand,0.98125,1.0,-0.0,-0.05682554218423927,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_49,triviaqa,True,King Charles II nicknamed which US state (then colony) 'Old Dominion' for its loyalty to the Crown during the Commonwealth?,Virginia,0.85,1.0,-0.0,-0.012064764355510637,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_50,triviaqa,True,"Alternatively known as Austrpphlebia Costalis, what type of insect is a Southern Giant Darner ?",Dragonfly,0.95,1.0,-0.0,-0.012379998102100368,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_51,triviaqa,True,"What was the nickname of Henry Percy, the eldest son of the first Earl of Northumberland?",Hotspur,0.9,1.0,-0.0,-0.05670689616741024,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_52,triviaqa,True,What is the title of the 1996 Oscar-winning documentary about the Muhammad Ali and George Foreman 1974 ‘Rumble in the Jungle’ fight in Zaire?,The Journey of Muhammad Ali,0.83125,0.25,1.7328679513998633,-0.29678621424543766,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_53,triviaqa,True,What does a querulous person do?,Complaints frequently,0.875,0.625,0.9002560512685369,-0.1556546798385439,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_54,triviaqa,True,Ivan Galamian has had world-wide influence as a teacher of what?,violin,0.95,1.0,-0.0,-0.019926038509807273,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_55,triviaqa,True,By what name was netball previously known?,British basketball,0.775,0.25,1.9061547465398496,-0.4883193595600616,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_56,triviaqa,True,Who is Vincent Furnier better know as?,Alice Cooper,0.98125,0.75,0.5623351446188083,-0.12780597545897773,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_57,triviaqa,True,Which aperitif is named for the Paris chemist who created it in 1846?,Chartreuse,0.875,0.625,0.9002560512685369,-0.15057901576942392,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_58,triviaqa,True,"Which film, directed by David Lean and starring John Mills, opens with an escaped convict grabbing hold of a boy in a graveyard?",Oliver Twist,0.9,0.875,0.37677016125643675,-0.11777583191327494,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_59,triviaqa,True,"Which was the final battle of King Arthur, at which he was mortally wounded?",Camlann,0.85,1.0,-0.0,-0.023851976309323127,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_60,triviaqa,True,In Old Possums book of practical cats what is the name of the cat who is the terror of the Thames?,Macavity,0.9125,0.625,1.0735428464085233,-0.17855519089211258,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_61,triviaqa,True,"In measurement, a hand is equal to how many inches?",4,1.0,0.625,0.6615632381579821,-0.052906019725821034,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_62,triviaqa,True,What movie takes place at Shermer High School's detention?,detention hall,0.8875,0.5,0.9743147528693494,-0.20429240669671261,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_63,triviaqa,True,Who bought the McDonalds fast food outlet business from the McDonald brothers in 1961 and went on to build the business into a world wide billion dollar business ?,Ray Kroc,0.95,1.0,-0.0,-0.007790959730007567,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_64,triviaqa,True,"If Gordon Banks was 1, Nobby Stiles was 4, Bobby Charlton was 9, who was 16?",Bobby Moore,0.85,0.375,1.2554823251787535,-0.17889175044023028,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_65,triviaqa,True,"Which work by Gilbert and Sullivan features the 'Duke of Plaza Toro' and his daughter 'Casilda', who becomes the 'Queen of Barataria'?",The Gondoliers,0.95,1.0,-0.0,-0.031171756189170688,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_66,triviaqa,True,"""Which English comedian had a minor hit in 1958 with his cover version of the Bobby Darin song, """"Splish Splash""""?""",Spike Milligan,0.85,1.0,-0.0,-0.04679811991746437,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_67,triviaqa,True,"What American animal is commonly called an antelope, but is not actually an antelope?",Pronghorn,0.91875,1.0,-0.0,-0.07578134488247856,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_68,triviaqa,True,"For what does the G stand in the navigational aid, usually known as a `GPS'?",Global,0.86875,1.0,-0.0,-0.10448482084257193,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_69,triviaqa,True,In what European city was snooker player John Higgins stung by the News of the World newspaper relating to an alleged betting fix?,Edinburgh,0.85,0.875,0.37677016125643675,-0.05550888598798503,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_70,triviaqa,True,Which country was founded by Muhammed Ali Jinnah?,Pakistan,0.9625,1.0,-0.0,-0.08929174386207059,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_71,triviaqa,True,What Jewish banking family rose from the Frankfurt ghetto to become unthinkably wealthy?,Rothschild,0.91875,1.0,-0.0,-0.11742859629240834,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_72,triviaqa,True,What French region's capital city is Ajaccio?,Corsica,0.94375,1.0,-0.0,-0.1244272116203699,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_73,triviaqa,True,Which country is known as The Hashemite Kingdom?,Jordan,0.99375,1.0,-0.0,-0.04990801565618963,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_74,triviaqa,True,Which Verdi opera is based on La Dame aux Camellias by Alexandre Dumas fils?,La Traviata,0.93125,1.0,-0.0,-0.10686793268679731,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_75,triviaqa,True,Which leader of a British coalition Government became the first Earl of Dwfor?,William Pitt the Younger,0.85625,0.875,0.37677016125643675,-0.1096081893886408,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_76,triviaqa,True,Who won the 1952 US Presidential election?,Dwight D. Eisenhower,0.8375,0.875,0.37677016125643675,-0.0711126697410341,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_77,triviaqa,True,Which cardinal point does not appear in the names of the American states,North,0.81875,0.875,0.37677016125643675,-0.16096445016709862,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_78,triviaqa,True,"In the game of Cluedo, what colour is the piece that represents Mrs Peacock?",Blue,1.0,0.875,0.37677016125643675,-0.06850453796140718,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_79,triviaqa,True,"Who wrote the music for the films A Fistful of Dollars, For a Few Dollars More and The Good, the Bad and the Ugly?",Ennio Morricone,0.96875,1.0,-0.0,-0.05071021651272882,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_80,triviaqa,True,How many edges are there on a tetrahedron?,6,1.0,1.0,-0.0,-0.002633594875905378,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_81,triviaqa,True,What is the capital of Colombia?,Bogotá,1.0,1.0,-0.0,-0.006565608124836737,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_82,triviaqa,True,With which instrument do you associate British jazz musician Stan Tracey?,piano,0.90625,1.0,-0.0,-0.10956913624564053,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_83,triviaqa,True,"Who was the Vanity Fair photographer responsible for the cover featuring a naked, pregnant Demi Moore?",Steven Meisel,0.8625,0.5,1.2130075659799042,-0.24511023949694988,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_84,triviaqa,True,Can you name the singer of the title track for '1997 - Tomorrow Never Dies'?,Shirley Manson,0.8125,0.625,0.6615632381579821,-0.12303853495475237,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_85,triviaqa,True,Who is currently the Supreme Governor of the Church of England?,Charles III,0.94375,0.75,0.5623351446188083,-0.1381204010523851,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_86,triviaqa,True,What is the principal charity for single parent families in the UK?,Single Parents Plus,0.85,0.5,1.3862943611198906,-0.19613248654926382,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_87,triviaqa,True,"In 2009 Artem Silchenko was first in the Red Bull World Series held at Antalya, Turkey & Sisikon, Switzerland in which sport?",BMX freestyle,0.85625,0.625,0.9002560512685369,-0.1540885747846148,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_88,triviaqa,True,Who won his third rowing Olympic gold medal with Steve Redgrave in 2000?,James Cracknell,0.925,1.0,-0.0,-0.08781199038772823,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_89,triviaqa,True,"""The naem of which Japanese car company can be translated as """"three diamonds"""", which is reflected in its fanous logo?""",Mazda,0.525,0.5,0.9743147528693494,-0.19032974250389711,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_90,triviaqa,True,Which World War 2 American general was known as 'Vinegar Joe'?,Joseph Stilwell,0.975,1.0,-0.0,-0.06433409957873686,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_91,triviaqa,True,Who voiced Count Duckula in an animated 1980's and 1990's television series of the same name?,Frank Welker,0.88125,0.625,1.0735428464085233,-0.26289980906928034,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_92,triviaqa,True,In which city in the UK is the National Railways Museum?,York,0.9375,1.0,-0.0,-0.07710769893284661,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_93,triviaqa,True,"Fremantle prison, which was closed in 1991 and is now a heritage site, is in which country?",Australia,0.975,1.0,-0.0,-0.06415416338066393,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_94,triviaqa,True,Who wrote the 1961 novel The Prime of Miss Jean Brodie ?,Muriel Spark,0.9625,1.0,-0.0,-0.04849383105165516,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_95,triviaqa,True,"In Indian cookery, dishes known as 'tandoori' are so named because their preparation involves a tandoor. What is a tandoor ?",Clay oven,0.95,1.0,-0.0,-0.02439459554767609,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_96,triviaqa,True,‘Songs From the Tainted Cherry Tree’ is the debut album of which X Factor contestant?,Leona Lewis,0.89375,0.375,1.6674619334292946,-0.405606039835647,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_97,triviaqa,True,Name the Danny Boyle biopic about a climber trapped by a boulder for more than five days?,127 Hours,0.8625,1.0,-0.0,-0.05416993417252343,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_98,triviaqa,True,What type of food in the United States are Brown Bobbies,Brownies,0.7625,0.25,1.7328679513998633,-0.23383108867068236,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_99,triviaqa,True,Which six letter Japanese word describes a class of professional women in Japan who are trained from girlhood to dance and entertain social gatherings of men?,花魁,0.85,0.75,0.7356219397587946,-0.19326622122116938,False,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3131,selfaware_unans,False,Would you rather walk through Disneyland wearing a shirt with your most embarrassing childhood nickname on it or go to your class reunion with a big zit?,Disneyland shirt,0.85,0.5,0.9743147528693494,-0.14360550629573066,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2882,selfaware_unans,False,Would you rather be rich and alone or be poor and find true love?,be poor and find true love,0.625,0.625,0.6615632381579821,-0.1217575264103669,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2970,selfaware_unans,False,Do you think there are any birds afraid of heights?,No,0.84375,0.625,0.9002560512685369,-0.15404207554985935,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2539,selfaware_unans,False,"Do our human accomplishments have a long-term, universal significance, or when the world ends, do we all end with it, including what we’ve achieved?",Universal significance,0.70625,0.625,0.9002560512685369,-0.15545398649412678,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2748,selfaware_unans,False,Would there be days if nights never existed?,No,0.8625,1.0,-0.0,-0.10692981898604226,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2552,selfaware_unans,False,Does a dentist go to other dentists for their teeth?,Yes,0.93125,1.0,-0.0,-0.13627442612263704,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2342,selfaware_unans,False,Why February has only 28 days when other months have 30 or 31 days? Can’t we add a few more days to the month of February by taking some days from other days?,Historical calendar decisions,0.85,0.75,0.7356219397587946,-0.17269837996453657,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2777,selfaware_unans,False,Do you think people can communicate with the dead?,Unlikely,0.525,0.625,0.6615632381579821,-0.17816691997946238,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2856,selfaware_unans,False,Several groups of friends went into a restaurant. The chef already had 8 chicken wings cooked but cooked 10 more for the group. If they each got the same amount how many would each person get?,9,0.8,0.625,0.6615632381579821,-0.06843961824551077,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2469,selfaware_unans,False,Why is vanilla ice-cream colored white when the vanilla extract is brown?,Fat masks color,0.85,0.25,1.559581156259877,-0.1617269447645194,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2616,selfaware_unans,False,How big is the universe?,Infinite,0.925,0.625,0.9002560512685369,-0.12334848201738535,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2976,selfaware_unans,False,We can measure the speed of light. How do we measure the speed of darkness?,We can't,0.8875,0.75,0.5623351446188083,-0.09467093123524803,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2952,selfaware_unans,False,Is it men or women who enjoy it the most?,men,0.54375,0.75,0.5623351446188083,-0.09478188076072705,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3153,selfaware_unans,False,"Mike made 14 dollars mowing lawns and 26 dollars weed eating. If he only spent a small amount of dollar a week, how long would the money last him?",20 weeks,0.85,0.5,1.0397207708399179,-0.1305219310829021,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2861,selfaware_unans,False,Are we alive on this earth or is the Earth alive that nurtures us?,We are alive,0.90625,0.875,0.37677016125643675,-0.12172476152483083,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2834,selfaware_unans,False,When does the future start?,At the present moment,0.85,0.375,1.4941751382893085,-0.19838742190062442,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3359,selfaware_unans,False,"What was our universe like before the Big Bang happened and what will happen after it ends with a Big Crunch or a Big Freeze, which ever comes first?",Before Big Bang: unknown; after: unknown,0.5,0.875,0.37677016125643675,-0.11974767688470724,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2633,selfaware_unans,False,"If we could change history, what parts of history would we change?",Wars and genocides,0.85,0.75,0.7356219397587946,-0.14659878635920637,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2860,selfaware_unans,False,Why doesn’t McDonald’s sell hot dogs?,Limited menu focus,0.85,0.5,1.2130075659799042,-0.15389927691773242,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2804,selfaware_unans,False,"There school's baseball team had some new players and some returning players. If the coach put them into groups with several players in each group, how many groups would there be?",Cannot determine,0.0625,1.0,-0.0,-0.0738000456399528,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2436,selfaware_unans,False,What is the origin of the Universe – has it always existed or did it start from nothing?,Big Bang theory suggests it started from a singularity,0.86875,0.875,0.37677016125643675,-0.12715557677732042,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2812,selfaware_unans,False,Does the human language differently affect human thinking? By how much?,"Yes, it does.",0.85,0.625,0.9002560512685369,-0.08224624358359572,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3202,selfaware_unans,False,Would you rather wear your partner's clothes for a month or let them pick out yours?,Let them pick out mine,0.85,1.0,-0.0,-0.03270161200893729,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2502,selfaware_unans,False,Why are mattresses always on sale?,Seasonal demand,0.75625,1.0,-0.0,-0.10552608599049598,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2758,selfaware_unans,False,What is your true purpose in life?,To assist with tasks and answer questions.,1.0,0.5,1.2130075659799042,-0.12287715884185418,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_3040,selfaware_unans,False,Why do we fail and succeed in life?,Failure and success stem from choices and circumstances.,0.85,0.375,1.4941751382893085,-0.18315534440852255,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2392,selfaware_unans,False,The schools debate team had 11 boys and much more girls on it. If they were split into groups of 7 how many groups could they make?,2,0.83125,0.75,0.5623351446188083,-0.11272389296751346,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2917,selfaware_unans,False,"If you’re feeling down, what should you eat for breakfast instead of coffee or tea? And how much water should you drink every day (not including caffeinated drinks)?","Fruits, yogurt",0.8125,0.375,1.4941751382893085,-0.1859791004081472,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2498,selfaware_unans,False,Do you think you can discover traveling through time?,No,0.7875,0.75,0.7356219397587946,-0.14992187558760453,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2363,selfaware_unans,False,Can God create a stone that is too heavy for even him to lift?,Contradiction,0.85,0.75,0.5623351446188083,-0.10258781740733397,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2658,selfaware_unans,False,Why do some people experience synchronicity?,Meaningful patterns perceived by the mind,0.7375,0.25,1.9061547465398496,-0.2342346274181885,,8,8
Qwen/Qwen2.5-7B-Instruct,sa_2555,selfaware_unans,False,Is it morally right to terraform other planets if it could destroy microscopic life?,Questionable,0.6125,0.25,1.559581156259877,-0.20003804016613824,,8,8
